Year,Type,Country,Activity,Sex,Age,Fatal,Species,Age_missing
2021,Unprovoked,SOUTH AFRICA,surfing,M,38.0,0,unknown,0
2021,Provoked,BAHAMAS,Other,M,24.0,0,unknown,1
2021,Unprovoked,USA,Other,F,9.0,0,spinner,0
2021,Unprovoked,USA,spearfishing,M,36.0,1,unknown,0
2021,Unprovoked,BRAZIL,wading,M,51.0,1,unknown,0
2021,Unprovoked,AUSTRALIA,surfing,M,25.0,0,great white,0
2021,Unprovoked,USA,standing,M,8.0,0,unknown,0
2021,Provoked,USA,spearfishing,F,19.0,0,bull,0
2021,Unprovoked,OTHER,diving,M,31.0,0,other,0
2021,Unprovoked,USA,Other,M,15.0,0,unknown,0
2021,Unprovoked,USA,surfing,F,24.0,0,unknown,1
2021,Unprovoked,USA,swimming,F,7.0,0,unknown,0
2021,Unprovoked,USA,swimming,M,38.0,0,great white,0
2021,Unprovoked,OTHER,Other,M,36.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,surfing,M,25.0,0,unknown,0
2021,Unprovoked,USA,standing,M,12.0,0,unknown,0
2021,Unprovoked,USA,swimming,M,14.0,0,unknown,0
2021,Unprovoked,USA,standing,M,12.0,0,unknown,0
2021,Unprovoked,USA,standing,M,71.0,0,unknown,0
2021,Provoked,OTHER,fishing,M,51.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,snorkeling,M,10.0,0,bronze whaler,0
2021,Provoked,NEW CALEDONIA,spearfishing,M,24.0,1,unknown,1
2021,Unprovoked,USA,swimming,M,26.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,spearfishing,M,48.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,surfing,M,59.0,1,great white,0
2021,Unprovoked,USA,Other,M,35.0,0,tiger,0
2021,Provoked,OTHER,Other,M,57.0,0,unknown,0
2021,Unprovoked,USA,wading,F,21.0,0,unknown,0
2021,Unprovoked,USA,surfing,M,14.0,0,unknown,0
2021,Unprovoked,OTHER,spearfishing,M,53.0,1,unknown,0
2021,Unprovoked,USA,surfing,F,64.0,0,unknown,0
2021,Unprovoked,USA,Other,M,54.0,0,unknown,0
2021,Unprovoked,OTHER,Other,M,25.0,0,unknown,0
2021,Unprovoked,NEW CALEDONIA,Other,M,53.0,1,unknown,0
2021,Unprovoked,USA,swimming,F,57.0,0,tiger,0
2021,Unprovoked,AUSTRALIA,unknown,M,24.0,0,unknown,1
2021,Provoked,USA,Other,UNKNOWN,24.0,0,mako,1
2021,Unprovoked,SOUTH AFRICA,spearfishing,M,38.0,0,unknown,0
2021,Unprovoked,SOUTH AFRICA,body boarding,M,38.0,1,great white,0
2021,Unprovoked,USA,swimming,M,36.0,0,unknown,0
2021,Unprovoked,USA,unknown,M,24.0,0,unknown,1
2021,Unprovoked,AUSTRALIA,spearfishing,M,27.0,0,bull,0
2021,Unprovoked,OTHER,swimming,M,10.0,0,unknown,0
2021,Unprovoked,USA,unknown,F,16.0,0,unknown,0
2021,Unprovoked,USA,swimming,M,7.0,0,unknown,0
2021,Unprovoked,USA,surfing,M,9.0,0,unknown,0
2021,Unprovoked,AUSTRALIA,Other,M,75.0,0,blacktip,0
2021,Unprovoked,USA,wading,M,20.0,0,blacktip,0
2021,Unprovoked,NEW CALEDONIA,spearfishing,M,16.0,0,tiger,0
2021,Unprovoked,NEW CALEDONIA,swimming,M,57.0,1,tiger,0
2021,Provoked,AUSTRALIA,fishing,M,24.0,0,bull,1
2021,Unprovoked,USA,surfing,M,24.0,0,unknown,1
2021,Watercraft,AUSTRALIA,Other,M,17.0,0,bronze whaler,0
2021,Watercraft,USA,Other,M,24.0,0,great white,1
